participant_id,condition,image_order,visual_appeal,aesthetic_beauty,pleasant_to_be
P01,empty,1,4,4,5
P01,empty,2,4,4,3
P01,empty,3,5,5,5
P01,empty,4,3,3,2
P02,empty,1,5,5,5
P02,empty,2,4,5,5
P02,empty,3,5,5,5
P02,empty,4,4,4,5
P03,empty,1,4,4,4
P03,empty,2,4,5,5
P03,empty,3,5,5,5
P03,empty,4,4,3,3
P04,empty,1,4,5,5
P04,empty,2,5,5,5
P04,empty,3,5,5,5
P04,empty,4,3,4,4
P05,empty,1,4,4,5
P05,empty,2,5,5,5
P05,empty,3,5,5,5
P05,empty,4,4,5,5
P06,empty,1,5,5,5
P06,empty,2,5,4,4
P06,empty,3,5,5,5
P06,empty,4,5,5,5
P07,empty,1,2,3,2
P07,empty,2,3,3,2
P07,empty,3,2,3,2
P07,empty,4,2,3,2
P08,empty,1,4,4,5
P08,empty,2,5,5,5
P08,empty,3,4,4,5
P08,empty,4,4,3,4
P09,empty,1,4,3,4
P09,empty,2,4,3,4
P09,empty,3,5,5,5
P09,empty,4,4,4,5
P10,empty,1,4,4,3
P10,empty,2,2,2,1
P10,empty,3,5,5,4
P10,empty,4,2,2,2
P11,empty,1,4,4,4
P11,empty,2,3,3,3
P11,empty,3,5,5,5
P11,empty,4,3,3,3
P12,empty,1,4,4,5
P12,empty,2,5,5,5
P12,empty,3,5,5,5
P12,empty,4,5,5,5
P13,empty,1,4,3,4
P13,empty,2,5,5,4
P13,empty,3,5,5,4
P13,empty,4,3,4,3
P14,empty,1,4,4,5
P14,empty,2,5,5,5
P14,empty,3,5,5,5
P14,empty,4,4,4,4
P15,empty,1,5,5,5
P15,empty,2,5,5,5
P15,empty,3,5,5,5
P15,empty,4,5,5,5
P16,empty,1,4,5,4
P16,empty,2,4,4,4
P16,empty,3,4,5,5
P16,empty,4,4,4,4
P17,empty,1,5,5,5
P17,empty,2,4,4,4
P17,empty,3,5,5,5
P17,empty,4,4,4,4
P18,empty,1,5,5,5
P18,empty,2,5,5,5
P18,empty,3,5,5,5
P18,empty,4,5,5,5
P19,empty,1,5,5,4
P19,empty,2,5,5,3
P19,empty,3,5,5,5
P19,empty,4,4,5,4
P20,empty,1,4,5,4
P20,empty,2,4,4,4
P20,empty,3,5,5,5
P20,empty,4,3,4,3
P01,crowded,1,4,4,5
P01,crowded,2,3,4,3
P01,crowded,3,4,5,2
P01,crowded,4,2,3,2
P02,crowded,1,4,4,3
P02,crowded,2,4,4,5
P02,crowded,3,4,5,4
P02,crowded,4,4,3,2
P03,crowded,1,3,3,4
P03,crowded,2,4,4,4
P03,crowded,3,5,4,5
P03,crowded,4,3,2,3
P04,crowded,1,3,5,5
P04,crowded,2,3,3,4
P04,crowded,3,3,5,5
P04,crowded,4,4,4,5
P05,crowded,1,3,3,5
P05,crowded,2,4,4,5
P05,crowded,3,4,5,5
P05,crowded,4,4,4,5
P06,crowded,1,3,3,4
P06,crowded,2,2,3,3
P06,crowded,3,4,3,3
P06,crowded,4,4,4,3
P07,crowded,1,3,4,4
P07,crowded,2,4,4,4
P07,crowded,3,3,4,4
P07,crowded,4,3,4,4
P08,crowded,1,2,4,4
P08,crowded,2,4,5,5
P08,crowded,3,5,5,4
P08,crowded,4,4,3,3
P09,crowded,1,4,3,4
P09,crowded,2,4,3,4
P09,crowded,3,5,5,5
P09,crowded,4,4,4,5
P10,crowded,1,4,4,3
P10,crowded,2,2,5,1
P10,crowded,3,5,5,4
P10,crowded,4,2,2,1
P11,crowded,1,2,2,2
P11,crowded,2,2,2,2
P11,crowded,3,3,3,3
P11,crowded,4,2,2,2
P12,crowded,1,5,5,4
P12,crowded,2,3,5,4
P12,crowded,3,4,5,4
P12,crowded,4,3,5,5
P13,crowded,1,3,4,4
P13,crowded,2,5,4,4
P13,crowded,3,4,4,4
P13,crowded,4,3,3,3
P14,crowded,1,3,4,5
P14,crowded,2,5,5,5
P14,crowded,3,5,4,5
P14,crowded,4,4,4,4
P15,crowded,1,3,5,5
P15,crowded,2,4,5,5
P15,crowded,3,5,5,5
P15,crowded,4,5,5,5
P16,crowded,1,4,5,4
P16,crowded,2,4,4,4
P16,crowded,3,4,5,4
P16,crowded,4,4,4,4
P17,crowded,1,3,3,3
P17,crowded,2,2,2,2
P17,crowded,3,4,4,4
P17,crowded,4,2,2,2
P18,crowded,1,2,4,4
P18,crowded,2,2,4,4
P18,crowded,3,2,4,4
P18,crowded,4,2,4,4
P19,crowded,1,5,5,4
P19,crowded,2,5,4,2
P19,crowded,3,4,5,2
P19,crowded,4,4,4,3
P20,crowded,1,3,4,4
P20,crowded,2,3,4,4
P20,crowded,3,4,3,4
P20,crowded,4,3,3,3
