record_id,participant_id,program_code,main_group,order_variant,age_group,design_education,digital_use,crowd_discomfort,study_duration_min,sensitivity_focus_or_reload_flag,final_usefulness,final_ease,final_representational_value,final_future_preference,trial_order,landmark_id,task_type,initial_density,first_user_selected_density,committed_density,density_sequence,switch_count,unique_levels_viewed,all_density_levels_clicked,selection_time_s,localization_time_s,time_empty_s,time_low_s,time_moderate_s,time_high_s,accuracy,aoi_distance,click_x,click_y,familiarity_visited,familiarity_visual,familiarity_spatial,rating_answer_confidence,rating_comparison_benefit,rating_control_usefulness,rating_ideal_density,rating_aesthetic_appeal,rating_expected_comfort,rating_self_location_imagery,rating_informational_adequacy,rating_representational_realism,review_selection_time_3iqr,review_localization_time_3iqr
P001_T1,P001,A2,A,2,18-34,yes,4,5,8.5,False,5,6,5,6,1,duomo,visit,empty,low,high,empty>low>moderate>high>low>empty>high>moderate>empty>low>moderate>high>low>high,13,4,1,28.465,,7.316,5.557,7.992,7.601,,,,,no,1,1,,,4,moderate,3.0,4.0,6.0,6.0,7.0,False,False
P001_T2,P001,A2,A,2,18-34,yes,4,5,8.5,False,5,6,5,6,2,colosseum,feature,moderate,high,high,moderate>high>low>empty>moderate>low>high,6,4,1,28.806,14.868,1.837,6.931,15.06,4.979,1.0,0.066,0.463,0.523,no,4,4,6.0,6.0,6,,,,,,,False,False
P001_T3,P001,A2,A,2,18-34,yes,4,5,8.5,False,5,6,5,6,3,cologne,visit,low,moderate,high,low>moderate>high>moderate>high>moderate>high,6,3,0,13.275,,0.0,4.524,3.562,5.189,,,,,no,1,1,,,5,moderate,4.0,3.0,6.0,6.0,7.0,False,False
P001_T4,P001,A2,A,2,18-34,yes,4,5,8.5,False,5,6,5,6,4,notre_dame,feature,high,moderate,high,high>moderate>low>high,3,3,0,13.354,54.027,0.0,2.512,1.856,8.986,1.0,0.09,0.539,0.433,no,4,4,7.0,4.0,3,,,,,,,False,True
P002_T1,P002,C3,C,3,35-64,no,3,6,16.3,False,7,7,6,7,1,duomo,feature,low,empty,high,low>empty>low>moderate>high,4,4,1,16.408,5.791,1.063,6.826,1.995,6.524,1.0,0.02,0.507,0.74,no,1,1,7.0,7.0,7,,,,,,,False,False
P002_T2,P002,C3,C,3,35-64,no,3,6,16.3,False,7,7,6,7,2,cologne,visit,empty,moderate,moderate,empty>moderate>high>moderate,3,3,0,27.906,,5.936,0.0,13.576,8.394,,,,,no,1,1,,,7,moderate,7.0,7.0,7.0,7.0,7.0,False,False
P002_T3,P002,C3,C,3,35-64,no,3,6,16.3,False,7,7,6,7,3,notre_dame,feature,moderate,moderate,moderate,moderate>empty>low>moderate,3,3,0,20.068,3.718,0.803,0.889,18.376,0.0,0.0,0.377,0.542,0.725,no,1,1,7.0,7.0,7,,,,,,,False,False
P002_T4,P002,C3,C,3,35-64,no,3,6,16.3,False,7,7,6,7,4,colosseum,visit,high,moderate,moderate,high>moderate,1,2,0,10.113,,0.0,0.0,3.397,6.716,,,,,no,1,1,,,7,moderate,7.0,7.0,7.0,7.0,7.0,False,False
P003_T1,P003,A3,A,3,18-34,yes,3,4,28.5,False,4,3,5,7,1,colosseum,feature,low,empty,low,low>empty>low>moderate>high>low,5,4,1,48.116,18.395,2.644,23.029,2.204,20.238,1.0,0.077,0.461,0.534,yes,7,7,5.0,3.0,3,,,,,,,False,False
P003_T2,P003,A3,A,3,18-34,yes,3,4,28.5,False,4,3,5,7,2,cologne,visit,empty,low,high,empty>low>empty>moderate>high,4,4,1,20.49,,6.777,2.023,2.957,8.733,,,,,no,4,4,,,4,empty,1.0,2.0,5.0,5.0,7.0,False,False
P003_T3,P003,A3,A,3,18-34,yes,3,4,28.5,False,4,3,5,7,3,notre_dame,feature,high,empty,empty,high>empty>low>moderate>high>empty,5,4,1,22.478,5.885,6.64,2.624,2.575,10.639,1.0,0.095,0.55,0.434,no,4,4,6.0,4.0,2,,,,,,,False,False
P003_T4,P003,A3,A,3,18-34,yes,3,4,28.5,False,4,3,5,7,4,duomo,visit,moderate,low,empty,moderate>low>empty>moderate>high>empty,5,4,1,29.74,,4.465,2.128,20.4,2.747,,,,,yes,6,4,,,2,low,7.0,5.0,4.0,4.0,2.0,False,False
P004_T1,P004,D4,D,4,35-64,no,3,1,229.7,False,6,6,6,6,1,cologne,feature,low,empty,low,low>empty>low>moderate>high>low,5,4,1,25.242,1.848,4.167,14.78,2.327,3.968,1.0,0.044,0.462,0.725,no,1,1,7.0,1.0,3,,,,,,,False,False
P004_T2,P004,D4,D,4,35-64,no,3,1,229.7,False,6,6,6,6,2,notre_dame,visit,empty,empty,low,empty>low>moderate>high>low,4,4,1,33.728,,10.24,15.672,2.672,5.144,,,,,no,3,2,,,2,low,3.0,5.0,6.0,3.0,2.0,False,False
P004_T3,P004,D4,D,4,35-64,no,3,1,229.7,False,6,6,6,6,3,colosseum,feature,high,empty,empty,high>empty,1,2,0,74.888,8.232,15.424,0.0,0.0,59.464,0.0,0.094,0.428,0.531,yes,6,4,1.0,3.0,3,,,,,,,True,False
P004_T4,P004,D4,D,4,35-64,no,3,1,229.7,False,6,6,6,6,4,duomo,visit,moderate,empty,moderate,moderate>empty>low>moderate>high>moderate,5,4,1,29.688,,1.984,1.695,8.641,17.368,,,,,no,1,1,,,3,low,3.0,3.0,4.0,3.0,3.0,False,False
P005_T1,P005,D1,D,1,18-34,no,1,5,9.6,False,4,5,6,5,1,notre_dame,visit,high,empty,high,high>empty>low>moderate>high,4,4,1,12.105,,0.502,0.51,0.465,10.628,,,,,no,3,1,,,5,low,3.0,1.0,5.0,4.0,5.0,False,False
P005_T2,P005,D1,D,1,18-34,no,1,5,9.6,False,4,5,6,5,2,colosseum,feature,empty,low,moderate,empty>low>moderate>high>empty>low>moderate>high>empty>low>moderate>high>moderate>low>empty>low>moderate>high>empty>low>moderate,20,4,1,31.252,6.42,15.381,4.552,4.11,7.209,0.0,0.208,0.404,0.652,no,5,1,2.0,2.0,3,,,,,,,False,False
P005_T3,P005,D1,D,1,18-34,no,1,5,9.6,False,4,5,6,5,3,duomo,visit,low,empty,high,low>empty>low>moderate>high>moderate>high>moderate>high,8,4,1,10.703,,0.405,2.471,2.638,5.189,,,,,no,1,1,,,5,low,4.0,2.0,5.0,5.0,5.0,False,False
P005_T4,P005,D1,D,1,18-34,no,1,5,9.6,False,4,5,6,5,4,cologne,feature,moderate,low,high,moderate>low>high>empty>low>moderate>high>moderate>low>empty>low>empty>low>moderate>high>moderate>high>moderate>high,18,4,1,15.03,1.033,1.522,3.652,4.43,5.427,1.0,0.053,0.452,0.741,no,1,1,4.0,5.0,5,,,,,,,False,False
P006_T1,P006,A4,A,4,35-64,yes,3,5,3.8,False,5,7,6,6,1,cologne,visit,high,low,moderate,high>low>moderate>empty>low>moderate>high>moderate,7,4,1,14.43,,1.16,2.268,7.468,3.534,,,,,no,2,2,,,3,moderate,4.0,3.0,4.0,5.0,5.0,False,False
P006_T2,P006,A4,A,4,35-64,yes,3,5,3.8,False,5,7,6,6,2,notre_dame,feature,low,empty,low,low>empty>low>moderate>high>low,5,4,1,5.56,1.724,0.5,3.868,0.5,0.692,1.0,0.096,0.537,0.441,no,4,4,6.0,3.0,3,,,,,,,False,False
P006_T3,P006,A4,A,4,35-64,yes,3,5,3.8,False,5,7,6,6,3,duomo,visit,empty,low,low,empty>low>moderate>high>low,4,4,0,4.372,,2.334,1.2,0.444,0.394,,,,,yes,6,6,,,6,low,5.0,5.0,6.0,5.0,6.0,False,False
P006_T4,P006,A4,A,4,35-64,yes,3,5,3.8,False,5,7,6,6,4,colosseum,feature,moderate,high,low,moderate>high>moderate>low>empty>moderate>low,6,4,1,6.316,7.816,0.54,1.436,3.919,0.421,0.0,0.088,0.428,0.522,no,3,3,6.0,5.0,4,,,,,,,False,False
P007_T1,P007,B2,B,2,18-34,no,3,5,6.1,False,7,7,7,7,1,duomo,feature,low,moderate,high,low>moderate>high,2,3,0,12.083,3.098,0.0,7.598,2.429,2.055,1.0,0.041,0.5,0.761,yes,4,4,5.0,6.0,6,,,,,,,False,False
