landmark,state,state_order,width_px,height_px,mean_absolute_rgb_difference_0_255,changed_pixel_share_threshold_12,lower_half_changed_pixel_share_threshold_12
notre_dame,empty,0,2400,1446,0.0,0.0,0.0
notre_dame,low,1,2400,1446,11.05379581451416,0.18690439142461965,0.2819277316735823
notre_dame,moderate,2,2400,1446,16.37102699279785,0.2469372406639004,0.40199343015214384
notre_dame,high,3,2400,1446,21.585887908935547,0.31907993314891653,0.5462724757952974
duomo,empty,0,2400,1064,0.0,0.0,0.0
duomo,low,1,2400,1064,5.350028038024902,0.061139959273182956,0.12227991854636591
duomo,moderate,2,2400,1064,9.703372955322266,0.11138001253132832,0.22276002506265663
duomo,high,3,2400,1064,17.721052169799805,0.22760064223057644,0.42498668546365914
colosseum,empty,0,2400,1446,0.0,0.0,0.0
colosseum,low,1,2400,1446,6.3338704109191895,0.10104944674965421,0.20209889349930843
colosseum,moderate,2,2400,1446,11.148835182189941,0.16693493545412633,0.33386987090825265
colosseum,high,3,2400,1446,20.17659568786621,0.3021965767634855,0.5901515675426464
cologne,empty,0,2400,1493,0.0,0.0,0.0
cologne,low,1,2400,1493,4.614059925079346,0.06654108059834785,0.13299308344489066
cologne,moderate,2,2400,1493,6.50883674621582,0.09658852422415717,0.19304774654172244
cologne,high,3,2400,1493,10.077191352844238,0.15884907345389596,0.3174854975457385
