record_id,participant_id,task_type,landmark_id,initial_density,first_participant_initiated_density,committed_density,initial_match,first_participant_initiated_match,changed_from_initial,changed_after_first_participant_initiated_state,viewed_all_four,revisited_any_state,returned_to_initial,adjacent_transitions,skip_transitions,noop_transitions,return_transitions,direction_reversals,net_initial_to_final,sequence_length,switch_count,unique_levels_viewed,selection_time_s,total_dwell_s,dwell_empty_s,dwell_share_empty,dwell_low_s,dwell_share_low,dwell_moderate_s,dwell_share_moderate,dwell_high_s,dwell_share_high
P001_T1,P001,visit,duomo,empty,low,high,0,0,1,1,1,1,1,8,5,0,10,6,3,14,13,4,28.465,28.466,7.316,0.2570083608515421,5.557,0.1952153446216539,7.992,0.28075598960163,7.601,0.2670203049251738
P001_T2,P001,feature,colosseum,moderate,high,high,0,1,1,0,1,1,1,3,3,0,3,4,1,7,6,4,28.806,28.807,1.837,0.0637692227583573,6.931,0.2406012427534974,15.06,0.5227895997500607,4.979,0.1728399347380844
P001_T3,P001,visit,cologne,low,moderate,high,0,0,1,1,0,1,0,6,0,0,4,4,2,7,6,3,13.275,13.275,0.0,0.0,4.524,0.3407909604519774,3.562,0.2683239171374764,5.189,0.3908851224105461
P001_T4,P001,feature,notre_dame,high,moderate,high,1,0,0,1,0,1,1,2,1,0,1,1,0,4,3,3,13.354,13.354,0.0,0.0,2.512,0.1881084319305077,1.856,0.1389845739104388,8.986,0.6729069941590534
P002_T1,P002,feature,duomo,low,empty,high,0,0,1,1,1,1,1,4,0,0,1,1,2,5,4,4,16.408,16.408,1.063,0.064785470502194,6.826,0.4160165772793758,1.995,0.1215870307167235,6.524,0.3976109215017064
P002_T2,P002,visit,cologne,empty,moderate,moderate,0,1,1,0,0,1,0,2,1,0,1,1,2,4,3,3,27.906,27.906,5.936,0.2127141116605748,0.0,0.0,13.576,0.4864903604959507,8.394,0.3007955278434745
P002_T3,P002,feature,notre_dame,moderate,moderate,moderate,1,1,0,0,0,1,1,2,1,0,1,1,0,4,3,3,20.068,20.068,0.803,0.0400139525612916,0.889,0.044299382100857,18.376,0.9156866653378511,0.0,0.0
P002_T4,P002,visit,colosseum,high,moderate,moderate,0,1,1,0,0,0,0,1,0,0,0,0,-1,2,1,2,10.113,10.113,0.0,0.0,0.0,0.0,3.397,0.3359042816177197,6.716,0.6640957183822803
P003_T1,P003,feature,colosseum,low,empty,low,1,0,0,1,1,1,1,4,1,0,2,2,0,6,5,4,48.116,48.115,2.644,0.0549516782708095,23.029,0.4786241296892861,2.204,0.0458069209186324,20.238,0.4206172711212719
P003_T2,P003,visit,cologne,empty,low,high,0,0,1,1,1,1,1,3,1,0,1,2,3,5,4,4,20.49,20.49,6.777,0.3307467057101024,2.023,0.0987310883357735,2.957,0.1443142996583699,8.733,0.426207906295754
